yyyy,mm,dd,hr,min,sec,0mab,1mab,2mab,3mab,4mab,5mab,6mab,7mab,8mab,9mab,10mab,11mab,12mab,13mab,14mab,15mab,16mab,17mab,18mab,19mab,20mab
2005,1,6,3,0,0,18.316,18.119,17.791,16.225,15.809,15.895,16.228,16.81,16.461,16.23,16.117,16.135,16.154,16.195,15.914,15.927,16.08,16.08,16.08,16.08,16.08
2005,1,6,4,0,0,18.336,17.817,16.953,15.894,15.887,16.519,16.72,16.49,16.272,16.056,15.842,15.898,15.955,16.125,15.878,15.954,16.152,16.152,16.152,16.152,16.152
2005,1,6,5,0,0,18.35,17.523,16.146,16.209,16.721,16.54,16.363,16.19,16.157,16.02,15.777,15.817,15.857,15.802,15.983,16.231,16.389,16.389,16.389,16.389,16.389
2005,1,6,6,0,0,18.363,17.533,16.151,16.312,16.717,16.435,16.232,16.107,16.091,15.983,15.783,15.782,15.782,15.765,16.104,16.354,16.435,16.435,16.435,16.435,16.435
2005,1,6,7,0,0,18.38,17.577,16.239,16.151,16.724,16.469,16.259,16.094,16.099,16.024,15.868,15.784,15.701,15.7,16.014,16.308,16.445,16.445,16.445,16.445,16.445
2005,1,6,8,0,0,18.387,17.54,16.13,16.098,16.686,16.53,16.382,16.243,16.147,16.061,15.984,15.935,15.886,15.724,15.906,16.201,16.405,16.405,16.405,16.405,16.405
2005,1,6,9,0,0,18.389,17.511,16.048,16.364,16.814,16.678,16.597,16.572,16.47,16.478,16.595,16.609,16.622,15.943,15.887,16.127,16.395,16.395,16.395,16.395,16.395
2005,1,6,10,0,0,18.388,17.603,16.295,16.253,16.603,16.805,16.907,16.909,16.923,17.008,17.166,17.143,17.12,16.651,16.045,16.016,16.29,16.29,16.29,16.29,16.29
2005,1,6,11,0,0,18.391,17.597,16.273,16.328,16.497,16.81,16.974,16.989,17.053,17.083,17.08,17.042,17.004,17.039,16.276,16.032,16.17,16.17,16.17,16.17,16.17
2005,1,6,12,0,0,18.402,17.598,16.258,16.289,16.794,16.978,17.081,17.105,17.122,17.057,16.91,16.918,16.926,17.018,16.617,16.249,16.082,16.082,16.082,16.082,16.082
2005,1,6,13,0,0,18.41,17.683,16.471,16.6,16.961,17.052,17.141,17.228,17.052,16.895,16.755,16.806,16.858,16.991,16.687,16.284,16.032,16.032,16.032,16.032,16.032
2005,1,6,14,0,0,18.419,17.84,16.874,16.693,16.925,17.025,17.142,17.276,17.107,16.935,16.76,16.841,16.922,16.915,16.88,16.456,16.051,16.051,16.051,16.051,16.051
2005,1,6,15,0,0,18.428,18.239,17.923,16.904,16.858,17.002,17.133,17.251,17.223,17.132,16.976,16.883,16.79,16.875,16.892,16.632,16.362,16.362,16.362,16.362,16.362
2005,1,6,16,0,0,18.433,18.351,18.215,17.23,16.906,17,17.097,17.198,17.253,17.214,17.081,16.933,16.786,16.738,16.787,16.555,16.299,16.299,16.299,16.299,16.299
2005,1,6,17,0,0,18.434,18.34,18.185,17.297,16.884,16.858,16.921,17.075,17.227,17.294,17.275,17.111,16.946,16.775,16.793,16.578,16.352,16.352,16.352,16.352,16.352
